,duichanghao,hang,lie,x,y
6468,26,1,24,73838.9,-17442
6469,26,1,25,74472.1,-17442.1
6470,26,1,26,75105.3,-17442.2
6471,26,1,27,75738.5,-17442.3
6472,26,1,28,76371.7,-17442.4
6473,26,1,29,77004.9,-17442.5
6474,26,1,30,77638.1,-17442.6
6475,26,1,31,78271.3,-17442.7
6476,26,1,32,78904.5,-17442.8
6477,26,1,33,79537.7,-17442.9
6478,26,1,34,80170.9,-17443
6479,26,1,35,80804.1,-17443.1
6480,26,1,36,81437.3,-17443.2
6481,26,1,37,82070.5,-17443.3
6482,26,1,38,82703.7,-17443.4
6483,26,1,39,83336.9,-17443.5
6484,26,1,40,83970.1,-17443.6
6485,26,1,41,84603.3,-17443.7
6486,26,1,42,85236.5,-17443.8
6487,26,1,43,85869.7,-17443.9
6488,26,1,44,86502.9,-17444
6489,26,2,1,59276.44,-17718.2
6490,26,2,2,59909.64,-17718.3
6491,26,2,3,60542.84,-17718.4
6492,26,2,4,61176.04,-17718.5
6493,26,2,5,61809.24,-17718.6
6494,26,2,6,62442.44,-17718.7
6495,26,2,7,63075.64,-17718.8
6496,26,2,8,63708.84,-17718.9
6497,26,2,9,64342.04,-17719
6498,26,2,10,64975.24,-17719.1
6499,26,2,11,65608.44,-17719.2
6500,26,2,12,66241.64,-17719.3
6501,26,2,13,66874.84,-17719.4
6502,26,2,14,67508.04,-17719.5
6503,26,2,15,68141.24,-17719.6
6504,26,2,16,68774.44,-17719.7
6505,26,2,17,69407.64,-17719.8
6506,26,2,18,70040.84,-17719.9
6507,26,2,19,70674.04,-17720
6508,26,2,20,71307.24,-17720.1
6509,26,2,21,71940.44,-17720.2
6510,26,2,22,72573.64,-17720.3
6511,26,2,23,73206.84,-17720.4
6512,26,2,24,73840.04,-17720.5
6513,26,2,25,74473.24,-17720.6
6514,26,2,26,75106.44,-17720.7
6515,26,2,27,75739.64,-17720.8
6516,26,2,28,76372.84,-17720.9
6517,26,2,29,77006.04,-17721
6518,26,2,30,77639.24,-17721.1
6519,26,2,31,78272.44,-17721.2
6520,26,2,32,78905.64,-17721.3
6521,26,2,33,79538.84,-17721.4
6522,26,2,34,80172.04,-17721.5
6523,26,2,35,80805.24,-17721.6
6524,26,2,36,81438.44,-17721.7
6525,26,2,37,82071.64,-17721.8
6526,26,2,38,82704.84,-17721.9
6527,26,2,39,83338.04,-17722
6528,26,2,40,83971.24,-17722.1
6529,26,2,41,84604.44,-17722.2
6530,26,2,42,85237.64,-17722.3
6531,26,2,43,85870.84,-17722.4
6532,26,2,44,86504.04,-17722.5
6533,26,3,1,59277.58,-17996.7
6534,26,3,2,59910.78,-17996.8
6535,26,3,3,60543.98,-17996.9
6536,26,3,4,61177.18,-17997
6537,26,3,5,61810.38,-17997.1
6538,26,3,6,62443.58,-17997.2
6539,26,3,7,63076.78,-17997.3
6540,26,3,8,63709.98,-17997.4
6541,26,3,9,64343.18,-17997.5
6542,26,3,10,64976.38,-17997.6
6543,26,3,11,65609.58,-17997.7
6544,26,3,12,66242.78,-17997.8
6545,26,3,13,66875.98,-17997.9
6546,26,3,14,67509.18,-17998
6547,26,3,15,68142.38,-17998.1
6548,26,3,16,68775.58,-17998.2
6549,26,3,17,69408.78,-17998.3
6550,26,3,18,70041.98,-17998.4
6551,26,3,19,70675.18,-17998.5
6552,26,3,20,71308.38,-17998.6
6553,26,3,21,71941.58,-17998.7
6554,26,3,22,72574.78,-17998.8
6555,26,3,23,73207.98,-17998.9
6556,26,3,24,73841.18,-17999
6557,26,3,25,74474.38,-17999.1
6558,26,3,26,75107.58,-17999.2
6559,26,3,27,75740.78,-17999.3
6560,26,3,28,76373.98,-17999.4
6561,26,3,29,77007.18,-17999.5
6562,26,3,30,77640.38,-17999.6
6563,26,3,31,78273.58,-17999.7
6564,26,3,32,78906.78,-17999.8
6565,26,3,33,79539.98,-17999.9
6566,26,3,34,80173.18,-18000
6567,26,3,35,80806.38,-18000.1
6568,26,3,36,81439.58,-18000.2
6569,26,3,37,82072.78,-18000.3
6570,26,3,38,82705.98,-18000.4
6571,26,3,39,83339.18,-18000.5
6572,26,3,40,83972.38,-18000.6
6573,26,3,41,84605.58,-18000.7
6574,26,3,42,85238.78,-18000.8
6575,26,3,43,85871.98,-18000.9
6576,26,3,44,86505.18,-18001
6577,26,4,1,59278.72,-18275.2
6578,26,4,2,59911.92,-18275.3
6579,26,4,3,60545.12,-18275.4
6580,26,4,4,61178.32,-18275.5
6581,26,4,5,61811.52,-18275.6
6582,26,4,6,62444.72,-18275.7
6583,26,4,7,63077.92,-18275.8
6584,26,4,8,63711.12,-18275.9
6585,26,4,9,64344.32,-18276
6586,26,4,10,64977.52,-18276.1
6587,26,4,11,65610.72,-18276.2
6588,26,4,12,66243.92,-18276.3
6589,26,4,13,66877.12,-18276.4
6590,26,4,14,67510.32,-18276.5
